lastName,name,declarationDate,job,ministry,declarationObject
 BEN DHAOU,ALI,2-mars-2012,DELEGUE DES AFFAIRES RELIGIEUSES,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
 BEN HAMMADI,ABDEL AZIZ,1-mars-2012,DIRECTEUR,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
 BEN HMIDA,TAHER,13-mai-2004,COMMANDANT,MINISTERE DES TECHNOLOGIES DE LA COMMUNICATION ET DU TRANSPORT,PREMIERE DECLARATION
 BEN MASOUED,Salah,17-avr.-2012,PROCUREUR GENERAL,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
 BEN MASOUED,Salah,20-janv.-2000,PRESIDENT DE TRIBUNAL,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
 BEN MASOUED,Salah,13-oct.-1994,MAGISTRAT,MINISTERE DE LA JUSTICE,RENOUVELLEMENT -5 ANS-
 BEN MASOUED,Salah,20-juin-1987,MAGISTRAT,MINISTERE DE LA JUSTICE,PREMIERE DECLARATION
 BOUHELEL,MOHAMED,31-déc.-2010,DIRECTEUR GENERAL,MINISTERE DES DOMAINES DE L'ETAT ET DES AFFAIRES FONCIERES,RENOUVELLEMENT -5 ANS-
 BOUHELEL,MOHAMED,16-avr.-2004,DIRECTEUR,MINISTERE DES DOMAINES DE L'ETAT ET DES AFFAIRES FONCIERES,PREMIERE DECLARATION
 BOUSSIRI CHEBL,MOHAMED,22-nov.-2010,INCONNUE,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
 BOUSSIRI CHEBL,MOHAMED,28-juin-2004,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
 ELHADHLI,Khmais,21-nov.-2007,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
 ELHADHLI,Khmais,27-déc.-2000,DIRECTEUR,MINISTERE DE L'EDUCATION,RENOUVELLEMENT -5 ANS-
 ELHADHLI,Khmais,13-avr.-1995,DIRECTEUR,MINISTERE DE L'EDUCATION,PREMIERE DECLARATION
 GHAZOUENI,ASSIA,1-mars-2012,DELEGUE,MINISTERE DE L'INTERIEUR,PREMIERE DECLARATION
 GHRIB /BEN ABDALLAH,Mohamed Salah,16-avr.-2011,DIRECTEUR GENERAL,MINISTERE DU TRANSPORT ET DE L'EQUIPEMENT,RENOUVELLEMENT -5 ANS-
